year,precip_in,scenario
2071,30.91,ssp370
2072,32.22,ssp370
2073,32.74,ssp370
2074,34.9,ssp370
2075,34.66,ssp370
2076,32.15,ssp370
2077,32.22,ssp370
2078,34.43,ssp370
2079,33.49,ssp370
2080,33.08,ssp370
2081,32.09,ssp370
2082,32.35,ssp370
2083,33.33,ssp370
2084,31.81,ssp370
2085,33.17,ssp370
2086,33.27,ssp370
2087,31.52,ssp370
2088,32.74,ssp370
2089,33.12,ssp370
2090,32.47,ssp370
2091,31.53,ssp370
2092,32.14,ssp370
2093,32.88,ssp370
2094,33.9,ssp370
2095,32.52,ssp370
2096,32.06,ssp370
2097,32.02,ssp370
2098,33.64,ssp370
2099,33.42,ssp370
2100,33.41,ssp370
1950,,nclimgrid
1951,31.19,nclimgrid
1952,26.26,nclimgrid
1953,28.23,nclimgrid
1954,26.09,nclimgrid
1955,27.67,nclimgrid
1956,25.27,nclimgrid
1957,33.8,nclimgrid
1958,30.18,nclimgrid
1959,30.54,nclimgrid
1960,28.65,nclimgrid
1961,31.2,nclimgrid
1962,28.54,nclimgrid
1963,25.63,nclimgrid
1964,30.14,nclimgrid
1965,29.78,nclimgrid
1966,27.4,nclimgrid
1967,29.53,nclimgrid
1968,30.25,nclimgrid
1969,30.57,nclimgrid
1970,29.65,nclimgrid
1971,30.28,nclimgrid
1972,31.58,nclimgrid
1973,34.92,nclimgrid
1974,30.57,nclimgrid
1975,32.99,nclimgrid
1976,26.21,nclimgrid
1977,30.4,nclimgrid
1978,30.08,nclimgrid
1979,32.69,nclimgrid
1980,28.19,nclimgrid
1981,29.91,nclimgrid
1982,33.82,nclimgrid
1983,34.7,nclimgrid
1984,31.3,nclimgrid
1985,29.91,nclimgrid
1986,31.34,nclimgrid
1987,28.96,nclimgrid
1988,25.83,nclimgrid
1989,28.99,nclimgrid
1990,32.13,nclimgrid
1991,32.41,nclimgrid
1992,31.19,nclimgrid
1993,32.57,nclimgrid
1994,30.55,nclimgrid
1995,32.63,nclimgrid
1996,33.56,nclimgrid
1997,31.8,nclimgrid
1998,33.81,nclimgrid
1999,28.42,nclimgrid
2000,28.12,nclimgrid
2001,28.98,nclimgrid
2002,29.0,nclimgrid
2003,30.43,nclimgrid
2004,33.12,nclimgrid
2005,30.05,nclimgrid
2006,29.75,nclimgrid
2007,29.12,nclimgrid
2008,31.19,nclimgrid
2009,32.25,nclimgrid
