year,season,scenario,model,snc_mile2
1885,2,historical,bcc_csm2_mr,3636485.18543407
1885,3,historical,bcc_csm2_mr,768536.308684679
1885,4,historical,bcc_csm2_mr,1827492.55209955
1886,1,historical,bcc_csm2_mr,5381057.86613979
1886,2,historical,bcc_csm2_mr,3610443.23608314
1886,3,historical,bcc_csm2_mr,615623.403601416
1886,4,historical,bcc_csm2_mr,1969229.37272689
1887,1,historical,bcc_csm2_mr,4920898.02185507
1887,2,historical,bcc_csm2_mr,4058662.13055933
1887,3,historical,bcc_csm2_mr,791124.02884143
1887,4,historical,bcc_csm2_mr,1772848.89633509
1888,1,historical,bcc_csm2_mr,4837588.99378438
1888,2,historical,bcc_csm2_mr,3645720.65164872
1888,3,historical,bcc_csm2_mr,757901.489446022
1888,4,historical,bcc_csm2_mr,1593782.8961505
1889,1,historical,bcc_csm2_mr,4365766.39511257
1889,2,historical,bcc_csm2_mr,3300263.47038932
1889,3,historical,bcc_csm2_mr,762607.512729131
1889,4,historical,bcc_csm2_mr,1775713.75272363
1890,1,historical,bcc_csm2_mr,4634025.69842965
1890,2,historical,bcc_csm2_mr,3579244.98626998
1890,3,historical,bcc_csm2_mr,654550.479629396
1890,4,historical,bcc_csm2_mr,1734886.39561471
1891,1,historical,bcc_csm2_mr,4684960.93172363
1891,2,historical,bcc_csm2_mr,3729317.94600632
1891,3,historical,bcc_csm2_mr,790397.517848242
1891,4,historical,bcc_csm2_mr,1718552.9016084
1892,1,historical,bcc_csm2_mr,5088412.41176664
1892,2,historical,bcc_csm2_mr,3765901.61301754
1892,3,historical,bcc_csm2_mr,714013.934665385
1892,4,historical,bcc_csm2_mr,1756324.18460072
1893,1,historical,bcc_csm2_mr,4727349.84617929
1893,2,historical,bcc_csm2_mr,3761141.97572316
1893,3,historical,bcc_csm2_mr,720411.996110766
1893,4,historical,bcc_csm2_mr,1700301.42214642
1894,1,historical,bcc_csm2_mr,4810236.25424712
1894,2,historical,bcc_csm2_mr,3441069.61335886
1894,3,historical,bcc_csm2_mr,699813.606688636
1894,4,historical,bcc_csm2_mr,1921597.56947121
1895,1,historical,bcc_csm2_mr,4633149.41171335
1895,2,historical,bcc_csm2_mr,3709845.53939988
1895,3,historical,bcc_csm2_mr,854285.514985302
1895,4,historical,bcc_csm2_mr,1973126.30253926
1896,1,historical,bcc_csm2_mr,5045641.20033489
1896,2,historical,bcc_csm2_mr,3551665.80737292
1896,3,historical,bcc_csm2_mr,741740.892459744
1896,4,historical,bcc_csm2_mr,1898118.13696986
1897,1,historical,bcc_csm2_mr,4482551.07341773
1897,2,historical,bcc_csm2_mr,3356457.64911811
1897,3,historical,bcc_csm2_mr,740512.950517695
1897,4,historical,bcc_csm2_mr,1735867.38047725
1898,1,historical,bcc_csm2_mr,4641834.30561854
1898,2,historical,bcc_csm2_mr,3629535.02526658
1898,3,historical,bcc_csm2_mr,699311.119850986
1898,4,historical,bcc_csm2_mr,1968153.20313893
1899,1,historical,bcc_csm2_mr,5121896.96739256
1899,2,historical,bcc_csm2_mr,3652561.85312353
1899,3,historical,bcc_csm2_mr,678567.777513011
1899,4,historical,bcc_csm2_mr,1844135.24090814
1900,1,historical,bcc_csm2_mr,5045688.21577868
