year,scenario,model,snc_mile2
2045,ssp245,bcc_csm2_mr,2276964.47926809
2046,ssp245,bcc_csm2_mr,2163546.0537508
2047,ssp245,bcc_csm2_mr,2367982.37740049
2048,ssp245,bcc_csm2_mr,2454080.02715576
2049,ssp245,bcc_csm2_mr,2168502.62926364
2050,ssp245,bcc_csm2_mr,2466669.4008487
2051,ssp245,bcc_csm2_mr,2244903.70776346
2052,ssp245,bcc_csm2_mr,2376297.60831473
2053,ssp245,bcc_csm2_mr,2478976.69002584
2054,ssp245,bcc_csm2_mr,2247719.61869128
2055,ssp245,bcc_csm2_mr,2337431.83568601
2056,ssp245,bcc_csm2_mr,2220829.77387967
2057,ssp245,bcc_csm2_mr,2358512.47764851
2058,ssp245,bcc_csm2_mr,1869073.67970557
2059,ssp245,bcc_csm2_mr,1969760.7092689
2060,ssp245,bcc_csm2_mr,2197998.05842132
2061,ssp245,bcc_csm2_mr,2153658.1361842
2062,ssp245,bcc_csm2_mr,2284767.15186234
2063,ssp245,bcc_csm2_mr,2214214.2054446
2064,ssp245,bcc_csm2_mr,2206000.34894279
2065,ssp245,bcc_csm2_mr,2005619.07968844
2066,ssp245,bcc_csm2_mr,1960873.87840925
2067,ssp245,bcc_csm2_mr,2248313.83712347
2068,ssp245,bcc_csm2_mr,2219409.19003213
2069,ssp245,bcc_csm2_mr,2188652.76853883
2070,ssp245,bcc_csm2_mr,2019869.10306661
2071,ssp245,bcc_csm2_mr,2186936.24469463
2072,ssp245,bcc_csm2_mr,2089858.88595519
2073,ssp245,bcc_csm2_mr,2019329.8716989
2074,ssp245,bcc_csm2_mr,2014393.07801102
2075,ssp245,bcc_csm2_mr,2171969.94291983
2076,ssp245,bcc_csm2_mr,2224909.3641947
2077,ssp245,bcc_csm2_mr,1974572.28006379
2078,ssp245,bcc_csm2_mr,2045578.76070875
2079,ssp245,bcc_csm2_mr,2354151.57749507
2080,ssp245,bcc_csm2_mr,2335103.34399979
2081,ssp245,bcc_csm2_mr,2344807.90398387
2082,ssp245,bcc_csm2_mr,2104111.81015127
2083,ssp245,bcc_csm2_mr,2057930.20285326
2084,ssp245,bcc_csm2_mr,1973252.738818
2085,ssp245,bcc_csm2_mr,1894531.40851054
2086,ssp245,bcc_csm2_mr,1982419.18484541
2087,ssp245,bcc_csm2_mr,1988938.07265501
2088,ssp245,bcc_csm2_mr,1789432.7493595
2089,ssp245,bcc_csm2_mr,2067688.52429974
2090,ssp245,bcc_csm2_mr,2020444.45347025
2091,ssp245,bcc_csm2_mr,1883796.43680209
2092,ssp245,bcc_csm2_mr,1845764.94900189
2093,ssp245,bcc_csm2_mr,2165048.75210162
2094,ssp245,bcc_csm2_mr,2078058.49563552
2095,ssp245,bcc_csm2_mr,1863383.56087095
2096,ssp245,bcc_csm2_mr,2073965.26299567
2097,ssp245,bcc_csm2_mr,1991189.79710416
2098,ssp245,bcc_csm2_mr,1974688.54852682
2099,ssp245,bcc_csm2_mr,1984552.93826171
2100,ssp245,bcc_csm2_mr,2046348.47491691
2015,ssp370,bcc_csm2_mr,2525722.93093425
2016,ssp370,bcc_csm2_mr,2486185.80338404
2017,ssp370,bcc_csm2_mr,2660469.46829369
2018,ssp370,bcc_csm2_mr,2395391.69922683
2019,ssp370,bcc_csm2_mr,2340632.77335312
2020,ssp370,bcc_csm2_mr,2438310.07414341
2021,ssp370,bcc_csm2_mr,2579577.807143
2022,ssp370,bcc_csm2_mr,2579627.75327533
2023,ssp370,bcc_csm2_mr,2523092.30255692
2024,ssp370,bcc_csm2_mr,2405221.82432185
2025,ssp370,bcc_csm2_mr,2351663.50488208
2026,ssp370,bcc_csm2_mr,2577468.81559886
2027,ssp370,bcc_csm2_mr,2433138.33798981
2028,ssp370,bcc_csm2_mr,2379460.1953405
2029,ssp370,bcc_csm2_mr,2352871.04324099
2030,ssp370,bcc_csm2_mr,2312245.65085327
2031,ssp370,bcc_csm2_mr,2361660.38028113
2032,ssp370,bcc_csm2_mr,2624956.50720363
2033,ssp370,bcc_csm2_mr,2414620.01720226
2034,ssp370,bcc_csm2_mr,2376155.28288664
2035,ssp370,bcc_csm2_mr,2178755.00953746
2036,ssp370,bcc_csm2_mr,2133563.38888689
2037,ssp370,bcc_csm2_mr,2372436.22174867
2038,ssp370,bcc_csm2_mr,2348764.64233294
2039,ssp370,bcc_csm2_mr,2347666.73509412
2040,ssp370,bcc_csm2_mr,2281816.16077142
2041,ssp370,bcc_csm2_mr,2105538.91584697
2042,ssp370,bcc_csm2_mr,2210195.72399983
2043,ssp370,bcc_csm2_mr,2499304.02830525
2044,ssp370,bcc_csm2_mr,2433406.84911571
2045,ssp370,bcc_csm2_mr,2324249.72896183
2046,ssp370,bcc_csm2_mr,2322765.92189696
2047,ssp370,bcc_csm2_mr,2172359.29586496
2048,ssp370,bcc_csm2_mr,2263007.43214264
2049,ssp370,bcc_csm2_mr,2255168.25967796
2050,ssp370,bcc_csm2_mr,2312611.6056141
2051,ssp370,bcc_csm2_mr,2313607.58422313
2052,ssp370,bcc_csm2_mr,2072069.87518538
2053,ssp370,bcc_csm2_mr,2214828.03295063
2054,ssp370,bcc_csm2_mr,2122959.20175341
2055,ssp370,bcc_csm2_mr,2101005.6897088
2056,ssp370,bcc_csm2_mr,2196520.23965462
2057,ssp370,bcc_csm2_mr,2256732.551792
2058,ssp370,bcc_csm2_mr,1975038.64559411
2059,ssp370,bcc_csm2_mr,2254426.61065059
2060,ssp370,bcc_csm2_mr,2193351.68014663
2061,ssp370,bcc_csm2_mr,2094662.7245969
2062,ssp370,bcc_csm2_mr,2102754.34909687
2063,ssp370,bcc_csm2_mr,2108612.38899115
2064,ssp370,bcc_csm2_mr,2155430.88783843
