year,season,scenario,snc_mile2
2033,4,ssp126,1484894
2034,1,ssp126,4478038
2034,2,ssp126,2889918
2034,3,ssp126,290243
2034,4,ssp126,1550022
2035,1,ssp126,4505999
2035,2,ssp126,2924323
2035,3,ssp126,319031
2035,4,ssp126,1438305
2036,1,ssp126,4432299
2036,2,ssp126,2829846
2036,3,ssp126,268627
2036,4,ssp126,1455207
2037,1,ssp126,4374662
2037,2,ssp126,2723959
2037,3,ssp126,257945
2037,4,ssp126,1477053
2038,1,ssp126,4532954
2038,2,ssp126,2855570
2038,3,ssp126,285519
2038,4,ssp126,1361469
2039,1,ssp126,4440986
2039,2,ssp126,2849076
2039,3,ssp126,297608
2039,4,ssp126,1416587
2040,1,ssp126,4414117
2040,2,ssp126,2778507
2040,3,ssp126,287268
2040,4,ssp126,1478543
2041,1,ssp126,4481732
2041,2,ssp126,2833593
2041,3,ssp126,292740
2041,4,ssp126,1475444
2042,1,ssp126,4393786
2042,2,ssp126,2825336
2042,3,ssp126,270368
2042,4,ssp126,1421004
2043,1,ssp126,4310082
2043,2,ssp126,2799508
2043,3,ssp126,277210
2043,4,ssp126,1431156
2044,1,ssp126,4585264
2044,2,ssp126,2819294
2044,3,ssp126,264518
2044,4,ssp126,1368721
2045,1,ssp126,4341850
2045,2,ssp126,2839150
2045,3,ssp126,284812
2045,4,ssp126,1427558
2046,1,ssp126,4361227
2046,2,ssp126,2741978
2046,3,ssp126,275399
2046,4,ssp126,1394872
2047,1,ssp126,4365251
2047,2,ssp126,2706399
2047,3,ssp126,270303
2047,4,ssp126,1381780
2048,1,ssp126,4391823
2048,2,ssp126,2701908
2048,3,ssp126,259529
2048,4,ssp126,1496744
2049,1,ssp126,4496923
2049,2,ssp126,2899789
2049,3,ssp126,284400
2049,4,ssp126,1366220
2050,1,ssp126,4480923
2050,2,ssp126,2877618
2050,3,ssp126,277626
2050,4,ssp126,1442898
2051,1,ssp126,4344562
2051,2,ssp126,2733818
2051,3,ssp126,271478
2051,4,ssp126,1323280
2052,1,ssp126,4336198
2052,2,ssp126,2750943
2052,3,ssp126,285115
2052,4,ssp126,1399669
2053,1,ssp126,4477355
2053,2,ssp126,2844630
2053,3,ssp126,254952
2053,4,ssp126,1411661
2054,1,ssp126,4349855
2054,2,ssp126,2799853
2054,3,ssp126,283651
2054,4,ssp126,1411692
2055,1,ssp126,4328327
2055,2,ssp126,2761598
2055,3,ssp126,277797
2055,4,ssp126,1385467
2056,1,ssp126,4396937
2056,2,ssp126,2795220
2056,3,ssp126,276339
2056,4,ssp126,1371180
2057,1,ssp126,4349640
2057,2,ssp126,2806658
2057,3,ssp126,269664
2057,4,ssp126,1389009
2058,1,ssp126,4378706
2058,2,ssp126,2798739
2058,3,ssp126,292869
2058,4,ssp126,1352474
2059,1,ssp126,4421243
2059,2,ssp126,2780783
2059,3,ssp126,274903
2059,4,ssp126,1418592
2060,1,ssp126,4371887
2060,2,ssp126,2722784
2060,3,ssp126,258650
2060,4,ssp126,1393175
2061,1,ssp126,4349498
2061,2,ssp126,2712669
2061,3,ssp126,277438
2061,4,ssp126,1373953
2062,1,ssp126,4376385
2062,2,ssp126,2700820
2062,3,ssp126,270759
2062,4,ssp126,1423982
2063,1,ssp126,4420773
2063,2,ssp126,2661936
2063,3,ssp126,263872
2063,4,ssp126,1393544
2064,1,ssp126,4334380
2064,2,ssp126,2704132
2064,3,ssp126,275921
2064,4,ssp126,1469161
2065,1,ssp126,4337335
2065,2,ssp126,2789426
2065,3,ssp126,288347
2065,4,ssp126,1366057
2066,1,ssp126,4349695
2066,2,ssp126,2726157
2066,3,ssp126,264226
2066,4,ssp126,1417273
2067,1,ssp126,4277301
2067,2,ssp126,2640115
2067,3,ssp126,255069
2067,4,ssp126,1350384
2068,1,ssp126,4316354
2068,2,ssp126,2693008
2068,3,ssp126,256836
2068,4,ssp126,1388857
2069,1,ssp126,4355975
2069,2,ssp126,2865618
2069,3,ssp126,259637
2069,4,ssp126,1423444
2070,1,ssp126,4394674
2070,2,ssp126,2723739
2070,3,ssp126,260979
2070,4,ssp126,1319305
2071,1,ssp126,4378426
2071,2,ssp126,2758667
2071,3,ssp126,256349
