,year,avg_mam_temp_f,scenario,model
89,2039,53.596240616264296,ssp126,mpi-esm1-2-hr
90,2040,51.80452945104198,ssp126,mpi-esm1-2-hr
91,2041,51.581013734629465,ssp126,mpi-esm1-2-hr
92,2042,52.92071802884229,ssp126,mpi-esm1-2-hr
93,2043,52.45628862049633,ssp126,mpi-esm1-2-hr
94,2044,54.84909379470256,ssp126,mpi-esm1-2-hr
95,2045,53.88331209935275,ssp126,mpi-esm1-2-hr
96,2046,52.643248513604476,ssp126,mpi-esm1-2-hr
97,2047,52.49449344356547,ssp126,mpi-esm1-2-hr
98,2048,53.781948965654415,ssp126,mpi-esm1-2-hr
99,2049,52.74192842875002,ssp126,mpi-esm1-2-hr
100,2050,53.415276112556725,ssp126,mpi-esm1-2-hr
101,2051,52.94278877811988,ssp126,mpi-esm1-2-hr
102,2052,53.47035840944039,ssp126,mpi-esm1-2-hr
103,2053,51.90622787674005,ssp126,mpi-esm1-2-hr
104,2054,51.32784512002374,ssp126,mpi-esm1-2-hr
105,2055,53.67322326502084,ssp126,mpi-esm1-2-hr
106,2056,52.628843975819244,ssp126,mpi-esm1-2-hr
107,2057,53.20231715438781,ssp126,mpi-esm1-2-hr
108,2058,49.455859395109265,ssp126,mpi-esm1-2-hr
109,2059,52.47282932887462,ssp126,mpi-esm1-2-hr
110,2060,54.24413638467702,ssp126,mpi-esm1-2-hr
111,2061,52.98438227841903,ssp126,mpi-esm1-2-hr
112,2062,52.09925829727132,ssp126,mpi-esm1-2-hr
113,2063,53.148225148292916,ssp126,mpi-esm1-2-hr
114,2064,52.09317878599632,ssp126,mpi-esm1-2-hr
115,2065,52.97383454948485,ssp126,mpi-esm1-2-hr
116,2066,54.17202403596233,ssp126,mpi-esm1-2-hr
117,2067,53.81091661606895,ssp126,mpi-esm1-2-hr
118,2068,53.8607558293998,ssp126,mpi-esm1-2-hr
119,2069,51.235132087305104,ssp126,mpi-esm1-2-hr
120,2070,52.02885576568999,ssp126,mpi-esm1-2-hr
121,2071,51.41552806593267,ssp126,mpi-esm1-2-hr
122,2072,53.99054153747291,ssp126,mpi-esm1-2-hr
123,2073,52.09658310355827,ssp126,mpi-esm1-2-hr
124,2074,53.61562936452933,ssp126,mpi-esm1-2-hr
125,2075,50.56102848054148,ssp126,mpi-esm1-2-hr
126,2076,53.07217157069446,ssp126,mpi-esm1-2-hr
127,2077,54.89357227355903,ssp126,mpi-esm1-2-hr
128,2078,52.50446586752729,ssp126,mpi-esm1-2-hr
129,2079,54.10946711252733,ssp126,mpi-esm1-2-hr
130,2080,52.71521060742593,ssp126,mpi-esm1-2-hr
131,2081,51.36133431016471,ssp126,mpi-esm1-2-hr
132,2082,51.29083059969609,ssp126,mpi-esm1-2-hr
133,2083,51.55046931715289,ssp126,mpi-esm1-2-hr
134,2084,52.645621294864995,ssp126,mpi-esm1-2-hr
135,2085,50.75418926504021,ssp126,mpi-esm1-2-hr
136,2086,51.45968894163313,ssp126,mpi-esm1-2-hr
137,2087,53.12355702697112,ssp126,mpi-esm1-2-hr
138,2088,55.126708556458084,ssp126,mpi-esm1-2-hr
139,2089,55.462851628652466,ssp126,mpi-esm1-2-hr
140,2090,53.92172721319095,ssp126,mpi-esm1-2-hr
141,2091,51.178949457072655,ssp126,mpi-esm1-2-hr
142,2092,52.84929871594506,ssp126,mpi-esm1-2-hr
143,2093,52.83301702248646,ssp126,mpi-esm1-2-hr
144,2094,53.6594828098748,ssp126,mpi-esm1-2-hr
145,2095,53.2473220619816,ssp126,mpi-esm1-2-hr
146,2096,52.966467749754045,ssp126,mpi-esm1-2-hr
147,2097,53.74543196698987,ssp126,mpi-esm1-2-hr
148,2098,52.05281978512766,ssp126,mpi-esm1-2-hr
149,2099,50.6574633011124,ssp126,mpi-esm1-2-hr
150,2100,52.756050777202894,ssp126,mpi-esm1-2-hr
0,1950,50.55445768852629,ssp126,inm-cm5-0
1,1951,50.162379334943225,ssp126,inm-cm5-0
2,1952,48.13827645869942,ssp126,inm-cm5-0
3,1953,47.813611262373875,ssp126,inm-cm5-0
4,1954,52.60977350989096,ssp126,inm-cm5-0
5,1955,51.09134175512879,ssp126,inm-cm5-0
6,1956,50.54800364948187,ssp126,inm-cm5-0
7,1957,47.583556901000534,ssp126,inm-cm5-0
8,1958,48.34492482610978,ssp126,inm-cm5-0
9,1959,48.612257538964585,ssp126,inm-cm5-0
10,1960,51.103679160354275,ssp126,inm-cm5-0
11,1961,50.67485084218395,ssp126,inm-cm5-0
12,1962,50.456341306260455,ssp126,inm-cm5-0
13,1963,51.03549384977977,ssp126,inm-cm5-0
14,1964,51.11508032539475,ssp126,inm-cm5-0
15,1965,50.17341285766155,ssp126,inm-cm5-0
16,1966,50.34895590432799,ssp126,inm-cm5-0
17,1967,51.48337765038321,ssp126,inm-cm5-0
18,1968,48.0129412312859,ssp126,inm-cm5-0
19,1969,48.034368256746774,ssp126,inm-cm5-0
20,1970,49.29811554124329,ssp126,inm-cm5-0
21,1971,47.9657609780729,ssp126,inm-cm5-0
22,1972,50.80817504915794,ssp126,inm-cm5-0
23,1973,48.38972429866334,ssp126,inm-cm5-0
24,1974,48.28094531858238,ssp126,inm-cm5-0
25,1975,49.31847217419736,ssp126,inm-cm5-0
26,1976,49.03213986260872,ssp126,inm-cm5-0
27,1977,50.71150422161497,ssp126,inm-cm5-0
28,1978,51.95680468399258,ssp126,inm-cm5-0
29,1979,47.79170499660682,ssp126,inm-cm5-0
30,1980,51.448762197253245,ssp126,inm-cm5-0
31,1981,49.83191106669921,ssp126,inm-cm5-0
32,1982,50.39781243591949,ssp126,inm-cm5-0
33,1983,50.8341683150683,ssp126,inm-cm5-0
