,year,av_temp,scenario
103,2053,35.828245882676846,ssp370
104,2054,36.533974962691104,ssp370
105,2055,36.33712495845044,ssp370
106,2056,36.87652708119744,ssp370
107,2057,35.80028569841434,ssp370
108,2058,36.13022355818633,ssp370
109,2059,36.47847975110645,ssp370
110,2060,35.47715508157974,ssp370
111,2061,36.42866590308521,ssp370
112,2062,35.94710752731988,ssp370
113,2063,37.143063740900395,ssp370
114,2064,36.08632757646358,ssp370
115,2065,35.61123900022596,ssp370
116,2066,36.386492637479606,ssp370
117,2067,37.94207232375192,ssp370
118,2068,37.135405870161556,ssp370
119,2069,37.58249407258892,ssp370
120,2070,37.645001726138005,ssp370
121,2071,37.474806664493656,ssp370
122,2072,39.37380628877472,ssp370
123,2073,37.992032706792756,ssp370
124,2074,37.77392030452123,ssp370
125,2075,37.786956059563444,ssp370
126,2076,37.32921157269722,ssp370
127,2077,37.21364914141037,ssp370
128,2078,37.55424325539448,ssp370
129,2079,38.18355071756153,ssp370
130,2080,37.79709133928506,ssp370
131,2081,37.861456888626016,ssp370
132,2082,38.95287792424044,ssp370
133,2083,38.06575200055759,ssp370
134,2084,39.10179283163827,ssp370
135,2085,38.70988874941891,ssp370
136,2086,39.24848470112501,ssp370
137,2087,38.386848871982124,ssp370
138,2088,39.26079676794689,ssp370
139,2089,39.26790992265551,ssp370
140,2090,38.973820725045655,ssp370
141,2091,40.208248521955,ssp370
142,2092,39.41851291288484,ssp370
143,2093,38.73571140764441,ssp370
144,2094,39.3500434619331,ssp370
145,2095,39.65310441170931,ssp370
146,2096,40.558164994218245,ssp370
147,2097,39.441931425881386,ssp370
148,2098,38.78726408836683,ssp370
149,2099,39.878173903829364,ssp370
150,2100,39.96065354537209,ssp370
0,1950,,ssp585
1,1951,31.476943424295683,ssp585
2,1952,29.61572311301349,ssp585
3,1953,30.44078261828208,ssp585
4,1954,30.773430809943267,ssp585
5,1955,30.96843186430855,ssp585
6,1956,30.29297793241647,ssp585
7,1957,31.682519340372977,ssp585
8,1958,31.406647243001192,ssp585
9,1959,31.15064223452628,ssp585
10,1960,30.9312590073115,ssp585
11,1961,31.760994437697725,ssp585
12,1962,30.463724003538832,ssp585
13,1963,30.3865777783229,ssp585
14,1964,30.522588855778952,ssp585
15,1965,30.201820561159696,ssp585
16,1966,30.615205294318606,ssp585
17,1967,30.260866728627928,ssp585
18,1968,30.76966856559342,ssp585
19,1969,30.28441509312598,ssp585
20,1970,30.607622396596344,ssp585
21,1971,31.75382028738974,ssp585
22,1972,32.3418616146219,ssp585
23,1973,30.645043280836003,ssp585
24,1974,29.16974455251911,ssp585
25,1975,30.507256329946408,ssp585
26,1976,30.709694017806868,ssp585
27,1977,30.47261219649837,ssp585
28,1978,31.29545066715865,ssp585
29,1979,30.94085456188024,ssp585
30,1980,31.591512986583727,ssp585
31,1981,30.973259080508097,ssp585
32,1982,32.081530241731144,ssp585
33,1983,30.50230934896737,ssp585
34,1984,30.34025008809601,ssp585
35,1985,30.79361478074722,ssp585
36,1986,30.96385273332221,ssp585
37,1987,31.118590519469215,ssp585
38,1988,31.355121585609666,ssp585
39,1989,31.486064598973243,ssp585
40,1990,31.031464109535012,ssp585
41,1991,31.723297114271478,ssp585
42,1992,31.29419261910022,ssp585
43,1993,31.00032452606708,ssp585
44,1994,31.18139465723618,ssp585
45,1995,30.8499242144289,ssp585
46,1996,31.086478482065655,ssp585
47,1997,31.645499036370687,ssp585
