year,state,av_temp,scenario
2017,AR,62,ssp126
2018,AR,62.67,ssp126
2019,AR,62.32,ssp126
2020,AR,62.13,ssp126
2021,AR,62.02,ssp126
2022,AR,62.73,ssp126
2023,AR,63.04,ssp126
2024,AR,62.73,ssp126
2025,AR,62.27,ssp126
2026,AR,62.77,ssp126
2027,AR,63.3,ssp126
2028,AR,63.94,ssp126
2029,AR,62.72,ssp126
2030,AR,63.61,ssp126
2031,AR,63.09,ssp126
2032,AR,63.28,ssp126
2033,AR,62.29,ssp126
2034,AR,63.26,ssp126
2035,AR,63.68,ssp126
2036,AR,63.4,ssp126
2037,AR,62.67,ssp126
2038,AR,63.8,ssp126
2039,AR,63.13,ssp126
2040,AR,64.09,ssp126
2041,AR,63.46,ssp126
2042,AR,63.56,ssp126
2043,AR,63.19,ssp126
2044,AR,63.6,ssp126
2045,AR,63.17,ssp126
2046,AR,63.26,ssp126
2047,AR,62.81,ssp126
2048,AR,64.18,ssp126
2049,AR,63.19,ssp126
2050,AR,63.36,ssp126
2051,AR,63.92,ssp126
2052,AR,63.72,ssp126
2053,AR,63.58,ssp126
2054,AR,63.29,ssp126
2055,AR,63.99,ssp126
2056,AR,63.19,ssp126
2057,AR,62.96,ssp126
2058,AR,63.52,ssp126
2059,AR,64.05,ssp126
2060,AR,63.96,ssp126
2061,AR,63.82,ssp126
2062,AR,64.08,ssp126
2063,AR,63.99,ssp126
2064,AR,63.98,ssp126
2065,AR,65.16,ssp126
2066,AR,63.83,ssp126
2067,AR,64.17,ssp126
2068,AR,64.85,ssp126
2069,AR,63.69,ssp126
2070,AR,64.24,ssp126
2071,AR,63.8,ssp126
2072,AR,64.22,ssp126
2073,AR,63.5,ssp126
2074,AR,64.53,ssp126
2075,AR,63.8,ssp126
2076,AR,63.19,ssp126
2077,AR,64.27,ssp126
2078,AR,63.2,ssp126
2079,AR,63.52,ssp126
2080,AR,63.97,ssp126
2081,AR,63.57,ssp126
2082,AR,63.43,ssp126
2083,AR,62.82,ssp126
2084,AR,63.74,ssp126
2085,AR,63.74,ssp126
2086,AR,63.86,ssp126
2087,AR,62.94,ssp126
2088,AR,63.96,ssp126
2089,AR,63.58,ssp126
2090,AR,63.17,ssp126
2091,AR,63.29,ssp126
2092,AR,64.14,ssp126
2093,AR,63.62,ssp126
2094,AR,63.38,ssp126
2095,AR,63.8,ssp126
2096,AR,64,ssp126
2097,AR,63.6,ssp126
2098,AR,62.78,ssp126
2099,AR,62.75,ssp126
2100,AR,62.79,ssp126
1950,PA,46.92,ssp126
1951,PA,46.91,ssp126
1952,PA,46.8,ssp126
1953,PA,45.79,ssp126
1954,PA,46.43,ssp126
1955,PA,47.41,ssp126
1956,PA,47.26,ssp126
1957,PA,46.57,ssp126
1958,PA,46.87,ssp126
1959,PA,46.75,ssp126
1960,PA,46.53,ssp126
1961,PA,46.51,ssp126
1962,PA,46.58,ssp126
1963,PA,46.24,ssp126
1964,PA,46.81,ssp126
1965,PA,44.97,ssp126
1966,PA,46.98,ssp126
1967,PA,46.07,ssp126
1968,PA,46.11,ssp126
1969,PA,44.49,ssp126
1970,PA,46.6,ssp126
1971,PA,46.82,ssp126
1972,PA,47.19,ssp126
1973,PA,45.8,ssp126
1974,PA,46.07,ssp126
1975,PA,47.6,ssp126
1976,PA,47.02,ssp126
1977,PA,46.18,ssp126
1978,PA,47.42,ssp126
1979,PA,48.26,ssp126
1980,PA,47.57,ssp126
1981,PA,47.03,ssp126
1982,PA,46.84,ssp126
1983,PA,45.95,ssp126
1984,PA,46.7,ssp126
1985,PA,46.68,ssp126
1986,PA,46.18,ssp126
1987,PA,47.82,ssp126
1988,PA,47.67,ssp126
1989,PA,47.97,ssp126
1990,PA,46.37,ssp126
1991,PA,47.77,ssp126
1992,PA,46.22,ssp126
1993,PA,46.7,ssp126
1994,PA,46.93,ssp126
1995,PA,48.02,ssp126
1996,PA,47.84,ssp126
1997,PA,48.15,ssp126
1998,PA,47.74,ssp126
1999,PA,47.83,ssp126
2000,PA,47.5,ssp126
2001,PA,48,ssp126
2002,PA,48.12,ssp126
2003,PA,47.46,ssp126
2004,PA,47.39,ssp126
