,year,avg_djf_temp_f,scenario,model
130,2080,37.5642626818698,ssp245,access-cm2
131,2081,37.4769822652505,ssp245,access-cm2
132,2082,37.57952252846426,ssp245,access-cm2
133,2083,37.91463789330959,ssp245,access-cm2
134,2084,39.120008349819784,ssp245,access-cm2
135,2085,36.51954222137339,ssp245,access-cm2
136,2086,38.22091603584167,ssp245,access-cm2
137,2087,37.40763169099029,ssp245,access-cm2
138,2088,35.580496728195094,ssp245,access-cm2
139,2089,37.865005923185244,ssp245,access-cm2
140,2090,36.979466621618215,ssp245,access-cm2
141,2091,38.12240623344685,ssp245,access-cm2
142,2092,37.521639296447574,ssp245,access-cm2
143,2093,38.667585441690605,ssp245,access-cm2
144,2094,38.719591226214824,ssp245,access-cm2
145,2095,39.63689448274303,ssp245,access-cm2
146,2096,34.614517906434514,ssp245,access-cm2
147,2097,41.10772909579021,ssp245,access-cm2
148,2098,35.0842818458458,ssp245,access-cm2
149,2099,34.77657521018321,ssp245,access-cm2
150,2100,38.45787770576104,ssp245,access-cm2
0,1950,,ssp245,fgoals-g3
1,1951,31.353009732865612,ssp245,fgoals-g3
2,1952,25.61676377995629,ssp245,fgoals-g3
3,1953,30.231789656105377,ssp245,fgoals-g3
4,1954,28.653445094025162,ssp245,fgoals-g3
5,1955,24.883855499801037,ssp245,fgoals-g3
6,1956,31.07580943241225,ssp245,fgoals-g3
7,1957,28.373793417389034,ssp245,fgoals-g3
8,1958,29.518934608357853,ssp245,fgoals-g3
9,1959,32.238222574075344,ssp245,fgoals-g3
10,1960,31.066657687919776,ssp245,fgoals-g3
11,1961,32.249698870520746,ssp245,fgoals-g3
12,1962,29.788508450391017,ssp245,fgoals-g3
13,1963,32.51588436275905,ssp245,fgoals-g3
14,1964,29.990448956108782,ssp245,fgoals-g3
15,1965,29.009366552049833,ssp245,fgoals-g3
16,1966,33.00440325818876,ssp245,fgoals-g3
17,1967,31.626914477662282,ssp245,fgoals-g3
18,1968,31.45329278499005,ssp245,fgoals-g3
19,1969,29.686218036451045,ssp245,fgoals-g3
20,1970,31.893231934510993,ssp245,fgoals-g3
21,1971,30.74477178899016,ssp245,fgoals-g3
