,year,avg_jja_temp_f,scenario,model
143,2093,,hist,nclimgrid
144,2094,,hist,nclimgrid
145,2095,,hist,nclimgrid
146,2096,,hist,nclimgrid
147,2097,,hist,nclimgrid
148,2098,,hist,nclimgrid
149,2099,,hist,nclimgrid
150,2100,,hist,nclimgrid
0,1950,69.72893543511407,ssp585,gfdl-esm4
1,1951,71.84339704115747,ssp585,gfdl-esm4
2,1952,71.1403805433375,ssp585,gfdl-esm4
3,1953,69.6261652098236,ssp585,gfdl-esm4
4,1954,70.31501595656684,ssp585,gfdl-esm4
5,1955,72.14207257098089,ssp585,gfdl-esm4
6,1956,70.72234573366526,ssp585,gfdl-esm4
7,1957,73.23325352487305,ssp585,gfdl-esm4
8,1958,70.81802931464213,ssp585,gfdl-esm4
9,1959,70.26002471962106,ssp585,gfdl-esm4
10,1960,70.64267613842732,ssp585,gfdl-esm4
11,1961,70.00911896013905,ssp585,gfdl-esm4
12,1962,68.90868505417721,ssp585,gfdl-esm4
13,1963,70.40937708055495,ssp585,gfdl-esm4
14,1964,70.32195999236458,ssp585,gfdl-esm4
15,1965,70.58979315348827,ssp585,gfdl-esm4
16,1966,70.32808151391397,ssp585,gfdl-esm4
17,1967,68.95491203268821,ssp585,gfdl-esm4
18,1968,69.03273976211031,ssp585,gfdl-esm4
19,1969,70.52348648720647,ssp585,gfdl-esm4
20,1970,69.75110950958008,ssp585,gfdl-esm4
21,1971,70.62121486612192,ssp585,gfdl-esm4
22,1972,69.91889616341989,ssp585,gfdl-esm4
23,1973,71.96510205902118,ssp585,gfdl-esm4
24,1974,71.24983736669654,ssp585,gfdl-esm4
25,1975,70.20859623355983,ssp585,gfdl-esm4
26,1976,70.31396409384695,ssp585,gfdl-esm4
27,1977,70.36166523278493,ssp585,gfdl-esm4
28,1978,71.0139817921342,ssp585,gfdl-esm4
29,1979,69.91767938626995,ssp585,gfdl-esm4
30,1980,72.16662144515297,ssp585,gfdl-esm4
31,1981,69.92283532896963,ssp585,gfdl-esm4
32,1982,70.89384322371345,ssp585,gfdl-esm4
33,1983,69.72201993135633,ssp585,gfdl-esm4
34,1984,70.44541362771484,ssp585,gfdl-esm4
35,1985,70.0336745881856,ssp585,gfdl-esm4
36,1986,70.58289693564105,ssp585,gfdl-esm4
37,1987,69.95668161218781,ssp585,gfdl-esm4
38,1988,69.96218251409972,ssp585,gfdl-esm4
39,1989,70.04153217339649,ssp585,gfdl-esm4
40,1990,71.20022571046437,ssp585,gfdl-esm4
41,1991,72.15990148673733,ssp585,gfdl-esm4
42,1992,70.28083705245176,ssp585,gfdl-esm4
43,1993,70.1069508965209,ssp585,gfdl-esm4
44,1994,70.35115355807018,ssp585,gfdl-esm4
45,1995,71.75557508571777,ssp585,gfdl-esm4
46,1996,71.15430408213686,ssp585,gfdl-esm4
47,1997,69.92092089139102,ssp585,gfdl-esm4
48,1998,70.94430769540084,ssp585,gfdl-esm4
49,1999,71.90100521826359,ssp585,gfdl-esm4
50,2000,72.58483737261278,ssp585,gfdl-esm4
51,2001,71.92184144317113,ssp585,gfdl-esm4
52,2002,72.73157223763215,ssp585,gfdl-esm4
53,2003,71.53116399203734,ssp585,gfdl-esm4
54,2004,72.82175303907272,ssp585,gfdl-esm4
55,2005,72.66517367594918,ssp585,gfdl-esm4
56,2006,72.35708424450858,ssp585,gfdl-esm4
57,2007,71.29528344277712,ssp585,gfdl-esm4
58,2008,72.92055188523595,ssp585,gfdl-esm4
59,2009,71.6782435878427,ssp585,gfdl-esm4
60,2010,72.04348602540485,ssp585,gfdl-esm4
61,2011,72.48782083905203,ssp585,gfdl-esm4
62,2012,71.48133389093881,ssp585,gfdl-esm4
63,2013,73.20220972955784,ssp585,gfdl-esm4
64,2014,73.24205333367482,ssp585,gfdl-esm4
65,2015,73.12523098269382,ssp585,gfdl-esm4
66,2016,73.14622301814791,ssp585,gfdl-esm4
67,2017,72.85872475121616,ssp585,gfdl-esm4
68,2018,73.36183808408629,ssp585,gfdl-esm4
69,2019,72.8156701889895,ssp585,gfdl-esm4
