,year,av_temp,scenario
114,2064,59.43299582864161,ssp585
115,2065,59.86057762460433,ssp585
116,2066,59.37931564570333,ssp585
117,2067,60.100270288642704,ssp585
118,2068,60.15530708133157,ssp585
119,2069,60.82322597862282,ssp585
120,2070,60.669343268607996,ssp585
121,2071,61.549174286492864,ssp585
122,2072,60.98805901314111,ssp585
123,2073,61.30572852774905,ssp585
124,2074,60.788432923780455,ssp585
125,2075,61.013016933196695,ssp585
126,2076,61.263896226715254,ssp585
127,2077,61.5515799464458,ssp585
128,2078,61.74098113870184,ssp585
129,2079,61.66449193452125,ssp585
130,2080,61.56804029797711,ssp585
131,2081,61.82579463598396,ssp585
132,2082,62.239997646612075,ssp585
133,2083,62.44033510196494,ssp585
134,2084,62.5097661517376,ssp585
135,2085,62.41887125250711,ssp585
136,2086,62.80380981145956,ssp585
137,2087,62.94090827454193,ssp585
138,2088,62.85011509412243,ssp585
139,2089,63.64929180691523,ssp585
140,2090,63.3640962854149,ssp585
141,2091,64.20406607611152,ssp585
142,2092,63.52231218455932,ssp585
143,2093,64.19031405102413,ssp585
144,2094,63.863664589591544,ssp585
145,2095,63.82984287148798,ssp585
146,2096,64.61020769195345,ssp585
147,2097,63.88195057510266,ssp585
148,2098,64.21587566617255,ssp585
149,2099,65.26690358457478,ssp585
150,2100,64.86736106315249,ssp585
