,year,av_temp,scenario
76,2026,73.8965462918839,ssp245
77,2027,74.53850845623319,ssp245
78,2028,73.83509377994415,ssp245
79,2029,74.39098033993179,ssp245
80,2030,74.30665874821032,ssp245
81,2031,74.28772466088127,ssp245
82,2032,73.78602441871769,ssp245
83,2033,74.71677268165706,ssp245
84,2034,74.2083647748467,ssp245
85,2035,74.41268610451063,ssp245
86,2036,75.02156243156004,ssp245
87,2037,74.44769304821732,ssp245
88,2038,74.42870736899953,ssp245
89,2039,74.76978456857444,ssp245
90,2040,75.02566947519252,ssp245
91,2041,74.97057436957586,ssp245
92,2042,74.95643159232137,ssp245
93,2043,74.81248706111168,ssp245
94,2044,74.82713016964674,ssp245
95,2045,75.22266244114898,ssp245
96,2046,75.16200735532037,ssp245
97,2047,75.44985248035772,ssp245
98,2048,75.50329505292164,ssp245
99,2049,75.5601495016121,ssp245
100,2050,75.87735951351526,ssp245
101,2051,76.21881598567217,ssp245
102,2052,75.30166457294855,ssp245
103,2053,75.42121654934043,ssp245
104,2054,75.61124470961315,ssp245
105,2055,75.77994621603776,ssp245
106,2056,75.68771247285382,ssp245
107,2057,76.18341422587457,ssp245
108,2058,76.30559728031511,ssp245
109,2059,75.76997769028871,ssp245
110,2060,76.22227621185246,ssp245
111,2061,76.04280300934752,ssp245
112,2062,76.24601417624812,ssp245
113,2063,76.13939119373016,ssp245
114,2064,75.83941270804048,ssp245
115,2065,75.82621363738598,ssp245
116,2066,76.34015401470737,ssp245
117,2067,76.48677579517404,ssp245
118,2068,76.27172493658597,ssp245
119,2069,76.55462971036295,ssp245
120,2070,76.45790223745497,ssp245
121,2071,76.16625117468894,ssp245
122,2072,76.54089221004504,ssp245
123,2073,76.03121031090859,ssp245
124,2074,76.69544971649871,ssp245
125,2075,76.23485235219688,ssp245
126,2076,76.60301033161356,ssp245
127,2077,77.087382973608,ssp245
128,2078,77.07754161062287,ssp245
129,2079,77.03813837351773,ssp245
130,2080,76.85911970934434,ssp245
131,2081,76.5460503357408,ssp245
132,2082,76.56734247600195,ssp245
133,2083,76.95392382310968,ssp245
134,2084,76.88709373969743,ssp245
135,2085,76.82926516595019,ssp245
136,2086,77.28265470107507,ssp245
137,2087,77.3661357115639,ssp245
138,2088,77.10868630963213,ssp245
139,2089,76.53561950940059,ssp245
140,2090,77.17769954997472,ssp245
141,2091,77.33401696232711,ssp245
142,2092,77.15763744300955,ssp245
143,2093,77.2212698761664,ssp245
144,2094,77.25329389886379,ssp245
145,2095,77.22023541309409,ssp245
146,2096,77.432135821851,ssp245
147,2097,77.4596933573842,ssp245
148,2098,76.86301705478694,ssp245
149,2099,77.59813575235412,ssp245
150,2100,77.50773818100518,ssp245
0,1950,70.63371997462286,ssp370
1,1951,70.48376413032817,ssp370
2,1952,70.35185933703389,ssp370
3,1953,70.7093906785956,ssp370
4,1954,70.42687609034478,ssp370
5,1955,70.47529740238875,ssp370
6,1956,70.96772202034822,ssp370
7,1957,70.77310293219949,ssp370
8,1958,70.57702975146753,ssp370
9,1959,70.03252135545388,ssp370
10,1960,70.52858092365983,ssp370
11,1961,70.7206153355608,ssp370
12,1962,70.20348268455378,ssp370
13,1963,70.62028976550853,ssp370
14,1964,69.89790434859177,ssp370
15,1965,69.7911255783028,ssp370
16,1966,70.13454131079877,ssp370
17,1967,70.46461376002941,ssp370
18,1968,69.8328260902965,ssp370
19,1969,70.3431403343712,ssp370
20,1970,69.95447066618836,ssp370
21,1971,70.32362509950417,ssp370
22,1972,70.0991608539052,ssp370
23,1973,70.25120949886298,ssp370
24,1974,69.9306372787676,ssp370
25,1975,70.2578356659123,ssp370
26,1976,70.04457919164244,ssp370
27,1977,70.71259298272217,ssp370
28,1978,70.84307063533288,ssp370
29,1979,70.75071272714601,ssp370
30,1980,70.51869564068649,ssp370
31,1981,71.11050810631919,ssp370
32,1982,70.1725194306277,ssp370
33,1983,69.46260746472055,ssp370
34,1984,70.15808992684278,ssp370
35,1985,70.89583613497342,ssp370
36,1986,70.65442213613845,ssp370
37,1987,70.60088236026756,ssp370
38,1988,71.01905629665217,ssp370
39,1989,71.29393636070277,ssp370
40,1990,71.44378251975623,ssp370
41,1991,70.93620270479532,ssp370
42,1992,69.83422986220981,ssp370
43,1993,70.22269120628062,ssp370
44,1994,70.89129797611554,ssp370
45,1995,71.3573432148919,ssp370
46,1996,71.6047259092726,ssp370
47,1997,71.56451331022484,ssp370
48,1998,71.26351168241935,ssp370
49,1999,71.70006129443234,ssp370
50,2000,71.97647261256827,ssp370
51,2001,71.85151400758406,ssp370
52,2002,72.32928501135237,ssp370
53,2003,72.0553292655019,ssp370
54,2004,72.4783855157768,ssp370
55,2005,72.5083091801556,ssp370
56,2006,72.47216064173793,ssp370
57,2007,72.31394683686534,ssp370
58,2008,72.46850212495116,ssp370
59,2009,72.44802282153712,ssp370
60,2010,72.7954251094692,ssp370
61,2011,72.52291990790853,ssp370
62,2012,72.6019091888221,ssp370
63,2013,72.9772139127708,ssp370
64,2014,73.01428693706262,ssp370
65,2015,73.23762331318531,ssp370
66,2016,73.2171070262943,ssp370
67,2017,73.08138463873644,ssp370
68,2018,72.78438950443078,ssp370
69,2019,72.51492998124859,ssp370
70,2020,73.34977032952214,ssp370
71,2021,73.79568328119998,ssp370
72,2022,73.28374976912582,ssp370
73,2023,73.60059256481526,ssp370
74,2024,73.96161067123232,ssp370
75,2025,73.77643594850383,ssp370
76,2026,73.51001981400871,ssp370
77,2027,73.70992403665194,ssp370
78,2028,74.03282708387101,ssp370
79,2029,73.93214879973716,ssp370
80,2030,74.25878347336362,ssp370
81,2031,74.18225795138379,ssp370
82,2032,73.99053135976999,ssp370
83,2033,74.05798109251865,ssp370
84,2034,74.67411700682324,ssp370
85,2035,74.6522210566385,ssp370
86,2036,74.51918432671214,ssp370
87,2037,74.39773356711768,ssp370
88,2038,75.1432565492213,ssp370
89,2039,74.97536896054163,ssp370
90,2040,75.67647142862067,ssp370
91,2041,75.1238658146098,ssp370
92,2042,75.19918945125723,ssp370
93,2043,74.55740431821575,ssp370
94,2044,75.52154273981024,ssp370
95,2045,75.57204163645021,ssp370
96,2046,75.77194532170988,ssp370
97,2047,75.80419791047251,ssp370
98,2048,75.99560802029205,ssp370
99,2049,75.75113684378871,ssp370
100,2050,75.65078140925823,ssp370
101,2051,76.24927058351274,ssp370
102,2052,76.08412597040733,ssp370
103,2053,76.78792599179107,ssp370
104,2054,76.03258027927141,ssp370
105,2055,76.00138098178205,ssp370
106,2056,76.17592066083498,ssp370
107,2057,76.1009089905451,ssp370
108,2058,76.53283221214045,ssp370
109,2059,76.99920138542623,ssp370
110,2060,76.9265295012001,ssp370
111,2061,76.73069326296707,ssp370
112,2062,76.61631703918137,ssp370
113,2063,77.34132079352338,ssp370
114,2064,77.41612502561806,ssp370
115,2065,77.20182902192873,ssp370
116,2066,77.49364039299118,ssp370
117,2067,77.62864466551947,ssp370
118,2068,78.05498354626887,ssp370
119,2069,77.9599681197158,ssp370
120,2070,77.75710756368767,ssp370
121,2071,78.37934858717078,ssp370
122,2072,78.34783113337227,ssp370
123,2073,78.07617002766887,ssp370
124,2074,78.0762187021419,ssp370
125,2075,78.3261028035764,ssp370
126,2076,78.40841258998594,ssp370
127,2077,78.56656553554039,ssp370
128,2078,78.31385511878405,ssp370
129,2079,78.50333982742704,ssp370
130,2080,78.9187314419163,ssp370
131,2081,79.21166865198282,ssp370
132,2082,79.02000891032709,ssp370
133,2083,79.20702496238935,ssp370
134,2084,79.67771490480584,ssp370
135,2085,79.61223192180535,ssp370
136,2086,79.6175688687388,ssp370
137,2087,79.51159539433324,ssp370
138,2088,80.56275154726143,ssp370
139,2089,80.0276048713345,ssp370
140,2090,80.40818567312567,ssp370
141,2091,80.40561822745936,ssp370
142,2092,80.56741732337274,ssp370
143,2093,80.4243609764007,ssp370
