year,state,av_temp,scenario
1968,CA,43.54,nclimgrid
1969,CA,41.39,nclimgrid
1970,CA,45.94,nclimgrid
1971,CA,42.93,nclimgrid
1972,CA,41.6,nclimgrid
1973,CA,41.51,nclimgrid
1974,CA,43.54,nclimgrid
1975,CA,42.73,nclimgrid
1976,CA,44.92,nclimgrid
1977,CA,44.51,nclimgrid
1978,CA,46.45,nclimgrid
1979,CA,40.81,nclimgrid
1980,CA,46.71,nclimgrid
1981,CA,47.13,nclimgrid
1982,CA,44.6,nclimgrid
1983,CA,44.43,nclimgrid
1984,CA,45.5,nclimgrid
1985,CA,42.47,nclimgrid
1986,CA,46.92,nclimgrid
1987,CA,43.81,nclimgrid
1988,CA,43.86,nclimgrid
1989,CA,42.01,nclimgrid
1990,CA,43.55,nclimgrid
1991,CA,44.25,nclimgrid
1992,CA,45.2,nclimgrid
1993,CA,41.8,nclimgrid
1994,CA,44.15,nclimgrid
1995,CA,45.82,nclimgrid
1996,CA,47.01,nclimgrid
1997,CA,45.55,nclimgrid
1998,CA,43.69,nclimgrid
1999,CA,43.93,nclimgrid
2000,CA,46.06,nclimgrid
2001,CA,44.01,nclimgrid
2002,CA,44.31,nclimgrid
2003,CA,46.58,nclimgrid
2004,CA,43.9,nclimgrid
2005,CA,45.22,nclimgrid
2006,CA,46.07,nclimgrid
2007,CA,43.95,nclimgrid
2008,CA,42.52,nclimgrid
2009,CA,44.69,nclimgrid
2010,CA,44.49,nclimgrid
2011,CA,44.85,nclimgrid
2012,CA,45.29,nclimgrid
2013,CA,43.41,nclimgrid
2014,CA,47.93,nclimgrid
2015,CA,49.41,nclimgrid
2016,CA,45.95,nclimgrid
2017,CA,44.18,nclimgrid
2018,CA,47.71,nclimgrid
2019,CA,43.9,nclimgrid
2020,CA,44.39,nclimgrid
2021,CA,NA,nclimgrid
2022,CA,NA,nclimgrid
2023,CA,NA,nclimgrid
2024,CA,NA,nclimgrid
2025,CA,NA,nclimgrid
2026,CA,NA,nclimgrid
2027,CA,NA,nclimgrid
2028,CA,NA,nclimgrid
2029,CA,NA,nclimgrid
2030,CA,NA,nclimgrid
2031,CA,NA,nclimgrid
2032,CA,NA,nclimgrid
2033,CA,NA,nclimgrid
2034,CA,NA,nclimgrid
2035,CA,NA,nclimgrid
2036,CA,NA,nclimgrid
2037,CA,NA,nclimgrid
2038,CA,NA,nclimgrid
2039,CA,NA,nclimgrid
2040,CA,NA,nclimgrid
2041,CA,NA,nclimgrid
2042,CA,NA,nclimgrid
2043,CA,NA,nclimgrid
2044,CA,NA,nclimgrid
2045,CA,NA,nclimgrid
2046,CA,NA,nclimgrid
2047,CA,NA,nclimgrid
2048,CA,NA,nclimgrid
2049,CA,NA,nclimgrid
2050,CA,NA,nclimgrid
2051,CA,NA,nclimgrid
2052,CA,NA,nclimgrid
2053,CA,NA,nclimgrid
2054,CA,NA,nclimgrid
2055,CA,NA,nclimgrid
2056,CA,NA,nclimgrid
2057,CA,NA,nclimgrid
2058,CA,NA,nclimgrid
2059,CA,NA,nclimgrid
2060,CA,NA,nclimgrid
2061,CA,NA,nclimgrid
2062,CA,NA,nclimgrid
2063,CA,NA,nclimgrid
2064,CA,NA,nclimgrid
2065,CA,NA,nclimgrid
2066,CA,NA,nclimgrid
2067,CA,NA,nclimgrid
2068,CA,NA,nclimgrid
2069,CA,NA,nclimgrid
2070,CA,NA,nclimgrid
2071,CA,NA,nclimgrid
2072,CA,NA,nclimgrid
2073,CA,NA,nclimgrid
2074,CA,NA,nclimgrid
2075,CA,NA,nclimgrid
2076,CA,NA,nclimgrid
2077,CA,NA,nclimgrid
2078,CA,NA,nclimgrid
2079,CA,NA,nclimgrid
2080,CA,NA,nclimgrid
2081,CA,NA,nclimgrid
2082,CA,NA,nclimgrid
2083,CA,NA,nclimgrid
2084,CA,NA,nclimgrid
2085,CA,NA,nclimgrid
2086,CA,NA,nclimgrid
2087,CA,NA,nclimgrid
2088,CA,NA,nclimgrid
