,year,avg_ann_temp_f,scenario,model
4,1954,50.720486852007134,ssp585,noresm2-mm
5,1955,51.165435098378005,ssp585,noresm2-mm
6,1956,51.19721786667892,ssp585,noresm2-mm
7,1957,50.44578151913338,ssp585,noresm2-mm
8,1958,50.30850957898795,ssp585,noresm2-mm
9,1959,51.29702538935973,ssp585,noresm2-mm
10,1960,51.31471798043738,ssp585,noresm2-mm
11,1961,53.798953089936845,ssp585,noresm2-mm
12,1962,50.02408243851672,ssp585,noresm2-mm
13,1963,49.74982398240758,ssp585,noresm2-mm
14,1964,50.21212260503929,ssp585,noresm2-mm
15,1965,50.489255838144175,ssp585,noresm2-mm
16,1966,50.7149641142641,ssp585,noresm2-mm
17,1967,49.0158451672337,ssp585,noresm2-mm
18,1968,49.897312397061064,ssp585,noresm2-mm
19,1969,50.33874029697605,ssp585,noresm2-mm
20,1970,50.67494484591987,ssp585,noresm2-mm
21,1971,50.478872621072505,ssp585,noresm2-mm
22,1972,51.64050829260962,ssp585,noresm2-mm
23,1973,49.390262168651745,ssp585,noresm2-mm
24,1974,49.51310446979309,ssp585,noresm2-mm
25,1975,49.38948908840227,ssp585,noresm2-mm
26,1976,50.50585617792525,ssp585,noresm2-mm
27,1977,50.070342889133684,ssp585,noresm2-mm
28,1978,52.25335412002588,ssp585,noresm2-mm
29,1979,51.06911639636299,ssp585,noresm2-mm
30,1980,50.99916789944348,ssp585,noresm2-mm
31,1981,51.89314746356644,ssp585,noresm2-mm
32,1982,50.99470218169647,ssp585,noresm2-mm
33,1983,48.90074646793797,ssp585,noresm2-mm
34,1984,49.36418040063746,ssp585,noresm2-mm
35,1985,51.03549968382236,ssp585,noresm2-mm
36,1986,51.415596767134026,ssp585,noresm2-mm
37,1987,51.958350899609584,ssp585,noresm2-mm
38,1988,51.35325216199433,ssp585,noresm2-mm
39,1989,52.06853787683965,ssp585,noresm2-mm
40,1990,53.44718309010033,ssp585,noresm2-mm
41,1991,52.26454218349437,ssp585,noresm2-mm
42,1992,52.95218756228134,ssp585,noresm2-mm
43,1993,51.98231356800194,ssp585,noresm2-mm
44,1994,51.35350578329731,ssp585,noresm2-mm
45,1995,51.814322446508875,ssp585,noresm2-mm
46,1996,50.400344161109224,ssp585,noresm2-mm
47,1997,51.311365631498944,ssp585,noresm2-mm
48,1998,51.852500388397516,ssp585,noresm2-mm
49,1999,51.537107892959654,ssp585,noresm2-mm
50,2000,52.55395051265626,ssp585,noresm2-mm
51,2001,53.895221304452164,ssp585,noresm2-mm
52,2002,52.00699717454946,ssp585,noresm2-mm
53,2003,53.10536568191448,ssp585,noresm2-mm
54,2004,53.44945636503795,ssp585,noresm2-mm
55,2005,53.278674640038844,ssp585,noresm2-mm
56,2006,53.51132827139771,ssp585,noresm2-mm
57,2007,54.459341049837455,ssp585,noresm2-mm
58,2008,51.49474158420502,ssp585,noresm2-mm
59,2009,51.87727546457698,ssp585,noresm2-mm
60,2010,53.20218872531985,ssp585,noresm2-mm
61,2011,52.79401799813365,ssp585,noresm2-mm
62,2012,54.021973855634606,ssp585,noresm2-mm
63,2013,53.4130612411093,ssp585,noresm2-mm
64,2014,51.92498633241425,ssp585,noresm2-mm
65,2015,54.20841876675371,ssp585,noresm2-mm
66,2016,54.285744961710655,ssp585,noresm2-mm
