station,year,month,ph,scenario
bats1,1890,3,8.21,historical
bats1,1890,4,8.21,historical
bats1,1890,5,8.2,historical
bats1,1890,6,8.18,historical
bats1,1890,7,8.14,historical
bats1,1890,8,8.12,historical
bats1,1890,9,8.13,historical
bats1,1890,10,8.15,historical
bats1,1890,11,8.18,historical
bats1,1890,12,8.2,historical
bats1,1891,1,8.21,historical
bats1,1891,2,8.21,historical
bats1,1891,3,8.21,historical
bats1,1891,4,8.21,historical
bats1,1891,5,8.2,historical
bats1,1891,6,8.18,historical
bats1,1891,7,8.14,historical
bats1,1891,8,8.12,historical
bats1,1891,9,8.13,historical
bats1,1891,10,8.15,historical
bats1,1891,11,8.18,historical
bats1,1891,12,8.2,historical
bats1,1892,1,8.2,historical
bats1,1892,2,8.21,historical
bats1,1892,3,8.21,historical
bats1,1892,4,8.21,historical
bats1,1892,5,8.2,historical
bats1,1892,6,8.17,historical
bats1,1892,7,8.14,historical
bats1,1892,8,8.12,historical
bats1,1892,9,8.13,historical
bats1,1892,10,8.16,historical
bats1,1892,11,8.18,historical
bats1,1892,12,8.2,historical
bats1,1893,1,8.21,historical
bats1,1893,2,8.21,historical
bats1,1893,3,8.21,historical
bats1,1893,4,8.21,historical
bats1,1893,5,8.2,historical
bats1,1893,6,8.17,historical
bats1,1893,7,8.14,historical
bats1,1893,8,8.12,historical
bats1,1893,9,8.12,historical
bats1,1893,10,8.15,historical
bats1,1893,11,8.18,historical
bats1,1893,12,8.2,historical
bats1,1894,1,8.2,historical
bats1,1894,2,8.2,historical
bats1,1894,3,8.21,historical
bats1,1894,4,8.21,historical
bats1,1894,5,8.2,historical
bats1,1894,6,8.17,historical
bats1,1894,7,8.14,historical
bats1,1894,8,8.12,historical
bats1,1894,9,8.12,historical
bats1,1894,10,8.15,historical
bats1,1894,11,8.17,historical
bats1,1894,12,8.19,historical
bats1,1895,1,8.2,historical
bats1,1895,2,8.2,historical
bats1,1895,3,8.2,historical
bats1,1895,4,8.21,historical
bats1,1895,5,8.2,historical
bats1,1895,6,8.17,historical
bats1,1895,7,8.14,historical
bats1,1895,8,8.12,historical
bats1,1895,9,8.13,historical
bats1,1895,10,8.15,historical
bats1,1895,11,8.18,historical
bats1,1895,12,8.2,historical
bats1,1896,1,8.2,historical
bats1,1896,2,8.2,historical
bats1,1896,3,8.2,historical
bats1,1896,4,8.21,historical
bats1,1896,5,8.2,historical
bats1,1896,6,8.17,historical
bats1,1896,7,8.14,historical
bats1,1896,8,8.12,historical
bats1,1896,9,8.12,historical
bats1,1896,10,8.15,historical
bats1,1896,11,8.18,historical
bats1,1896,12,8.2,historical
bats1,1897,1,8.2,historical
bats1,1897,2,8.2,historical
bats1,1897,3,8.2,historical
bats1,1897,4,8.21,historical
bats1,1897,5,8.2,historical
bats1,1897,6,8.17,historical
bats1,1897,7,8.14,historical
bats1,1897,8,8.12,historical
bats1,1897,9,8.13,historical
bats1,1897,10,8.15,historical
bats1,1897,11,8.17,historical
bats1,1897,12,8.2,historical
bats1,1898,1,8.2,historical
bats1,1898,2,8.21,historical
bats1,1898,3,8.2,historical
bats1,1898,4,8.21,historical
bats1,1898,5,8.2,historical
bats1,1898,6,8.18,historical
bats1,1898,7,8.14,historical
bats1,1898,8,8.12,historical
bats1,1898,9,8.13,historical
bats1,1898,10,8.15,historical
bats1,1898,11,8.18,historical
bats1,1898,12,8.2,historical
bats1,1899,1,8.2,historical
bats1,1899,2,8.2,historical
bats1,1899,3,8.2,historical
bats1,1899,4,8.21,historical
bats1,1899,5,8.2,historical
bats1,1899,6,8.17,historical
bats1,1899,7,8.13,historical
bats1,1899,8,8.11,historical
bats1,1899,9,8.12,historical
bats1,1899,10,8.14,historical
bats1,1899,11,8.17,historical
bats1,1899,12,8.19,historical
bats1,1900,1,8.2,historical
bats1,1900,2,8.21,historical
bats1,1900,3,8.21,historical
bats1,1900,4,8.21,historical
bats1,1900,5,8.2,historical
bats1,1900,6,8.16,historical
bats1,1900,7,8.13,historical
bats1,1900,8,8.11,historical
bats1,1900,9,8.12,historical
bats1,1900,10,8.15,historical
bats1,1900,11,8.17,historical
bats1,1900,12,8.2,historical
bats1,1901,1,8.2,historical
bats1,1901,2,8.2,historical
bats1,1901,3,8.21,historical
bats1,1901,4,8.21,historical
bats1,1901,5,8.2,historical
bats1,1901,6,8.17,historical
bats1,1901,7,8.14,historical
bats1,1901,8,8.13,historical
bats1,1901,9,8.13,historical
bats1,1901,10,8.15,historical
bats1,1901,11,8.18,historical
bats1,1901,12,8.2,historical
bats1,1902,1,8.2,historical
bats1,1902,2,8.21,historical
bats1,1902,3,8.2,historical
bats1,1902,4,8.21,historical
bats1,1902,5,8.2,historical
bats1,1902,6,8.17,historical
bats1,1902,7,8.13,historical
bats1,1902,8,8.11,historical
bats1,1902,9,8.12,historical
bats1,1902,10,8.15,historical
bats1,1902,11,8.18,historical
bats1,1902,12,8.19,historical
bats1,1903,1,8.2,historical
bats1,1903,2,8.2,historical
bats1,1903,3,8.2,historical
bats1,1903,4,8.2,historical
bats1,1903,5,8.2,historical
bats1,1903,6,8.17,historical
bats1,1903,7,8.14,historical
bats1,1903,8,8.12,historical
bats1,1903,9,8.13,historical
bats1,1903,10,8.15,historical
bats1,1903,11,8.18,historical
bats1,1903,12,8.19,historical
bats1,1904,1,8.2,historical
bats1,1904,2,8.2,historical
